id,case_number,primary_type,location_description,arrest,area,ward,community_area,fbi_code,year,vict_age,vict_sex,victim_race,date_occ,time_occ,date_rptd,district,suspect_age,suspect_sex,suspect_race,case_status,crime_category,zip_code,priority_level,repeat_offense_flag
10000006,CPD992058,Battery,Street,TRUE,Downtown,W21,Englewood,13A,2016,74,X,Black,9999-12-31T00:00:00.000Z,1824,9999-12-31T00:00:00.000Z,D06,22,Unknown,Black,Closed,Violent,60615,High,FALSE
10000101,CPD157612,Robbery,Residence,FALSE,Downtown,W45,Loop,120,2001,36,F,Black,9999-12-31T00:00:00.000Z,2033,9999-12-31T00:00:00.000Z,D24,72,F,Asian,Closed,Violent,60615,High,FALSE
10000115,CPD990550,Criminal Damage,Residence,TRUE,South Side,W44,Austin,290,2022,66,M,Black,9999-12-31T00:00:00.000Z,856,9999-12-31T00:00:00.000Z,D07,72,X,White,Under Investigation,Property,60619,Medium,FALSE
10000505,CPD682676,Theft,Public Transit,FALSE,West Side,W9,Austin,23H,2018,54,Unknown,Black,9999-12-31T00:00:00.000Z,1708,9999-12-31T00:00:00.000Z,D05,44,F,White,Open,Property,60608,Medium,FALSE
10000517,CPD541823,Theft,Public Transit,FALSE,Downtown,Unknown,Unknown,23H,2004,57,F,White,9999-12-31T00:00:00.000Z,801,9999-12-31T00:00:00.000Z,D11,62,F,Asian,Closed,Property,60625,Normal,FALSE
10000556,CPD114251,Criminal Damage,Street,FALSE,Downtown,Unknown,Lakeview,290,2015,47,M,White,9999-12-31T00:00:00.000Z,449,9999-12-31T00:00:00.000Z,D18,19,F,Hispanic,Closed,Property,60622,Medium,FALSE
10000671,CPD083825,Criminal Damage,School,FALSE,Far South Side,Unknown,Humboldt Park,290,2017,44,M,Unknown,9999-12-31T00:00:00.000Z,1002,9999-12-31T00:00:00.000Z,D01,80,M,Black,Closed,Property,60629,Medium,FALSE
10001059,CPD339034,Disorderly Conduct,Park,FALSE,West Side,W27,Lakeview,90C,2008,61,X,Black,9999-12-31T00:00:00.000Z,714,9999-12-31T00:00:00.000Z,D05,-1,X,Black,Closed,Uncategorized,60619,Low,FALSE
10001260,CPD899233,Disorderly Conduct,Street,FALSE,Downtown,W21,Humboldt Park,90C,2020,-1,F,Hispanic,9999-12-31T00:00:00.000Z,1044,9999-12-31T00:00:00.000Z,D20,-1,X,White,Under Investigation,Other,60629,Low,FALSE
10001314,CPD864083,Trespassing,Bar,FALSE,Far South Side,W3,Loop,90J,2017,56,Unknown,Hispanic,9999-12-31T00:00:00.000Z,740,9999-12-31T00:00:00.000Z,D05,-1,F,Asian,Under Investigation,Other,60619,Low,FALSE
